HostSampleID	phylum_Actinobacteria	phylum_Bacteroidetes	phylum_Cyanobacteria.Chloroplast	phylum_Firmicutes	phylum_Fusobacteria	phylum_Proteobacteria	phylum_unclassified_Bacteria	class_Actinobacteria	class_Alphaproteobacteria	class_Bacilli	class_Bacteroidia	class_Betaproteobacteria	class_Chloroplast	class_Clostridia	class_Flavobacteria	class_Fusobacteria	class_Gammaproteobacteria	class_Negativicutes	class_unclassified_Bacteria	order_Actinomycetales	order_Bacillales	order_Bacteroidales	order_Burkholderiales	order_Clostridiales	order_Enterobacteriales	order_Flavobacteriales	order_Fusobacteriales	order_Lactobacillales	order_Neisseriales	order_Pasteurellales	order_Pseudomonadales	order_Rhizobiales	order_Selenomonadales	order_unclassified_Bacteria	order_unclassified_Chloroplast	family_Actinomycetaceae	family_Bacillaceae.1	family_Bacillales_Incertae.Sedis.XI	family_Carnobacteriaceae	family_Chloroplast	family_Clostridiales_Incertae.Sedis.XI	family_Comamonadaceae	family_Corynebacteriaceae	family_Enterobacteriaceae	family_Flavobacteriaceae	family_Fusobacteriaceae	family_Lachnospiraceae	family_Micrococcaceae	family_Moraxellaceae	family_Neisseriaceae	family_Pasteurellaceae	family_Porphyromonadaceae	family_Prevotellaceae	family_Propionibacteriaceae	family_Staphylococcaceae	family_Streptococcaceae	family_Veillonellaceae	family_unclassified_Actinomycetales	family_unclassified_Bacteria	genus_Actinomyces	genus_Anaerococcus	genus_Corynebacterium	genus_Dolosigranulum	genus_Finegoldia	genus_Fusobacterium	genus_Gemella	genus_Granulicatella	genus_Neisseria	genus_Peptoniphilus	genus_Porphyromonas	genus_Prevotella	genus_Propionibacterium	genus_Rothia	genus_Staphylococcus	genus_Streptococcus	genus_Streptophyta	genus_Veillonella	genus_unclassified_Actinomycetales	genus_unclassified_Bacteria	genus_unclassified_Neisseriaceae
ZOZOW1T-1012	0.060804475	0.000822571	0.000493543	0.106045899	0	0.831833512	0	0.060804475	0	0.101817883	0.000180966	0.001595788	0.000493543	0.004228017	0.00046064	0	0.8299745	0	0	0.060804475	0.006958954	0.000180966	0	0.004228017	3.29E-05	0.00046064	0	0.094858929	0.001595788	1.65E-05	0.829925146	0	0	0	0.000493543	8.23E-05	0.000871926	0	0.094562803	0.000493543	0.004228017	0	0.049058156	3.29E-05	0.00046064	0	0	0	0.829925146	0.001595788	1.65E-05	0.000180966	0	0.006926051	0.006087028	0.000296126	0	0.00426092	0	8.23E-05	0.001891914	0.049058156	0.094562803	0.0005758	0	0	0	0.000378383	0.001760303	0.000180966	0	0.006926051	0	0.006087028	0.000296126	0.000493543	0	0.00426092	0	0.001217406
ZOZOW1T-1021	0.337166205	0.00680986	0.00370635	0.441770117	0.000357239	0.209096186	0.000491203	0.337166205	0.002054122	0.392471198	0.005894436	0.007211753	0.003505403	0.048249531	0.000245602	0.000357239	0.197753863	0.000535858	0.000491203	0.337099223	0.116214165	0.005894436	0.00051353	0.048249531	0.002322051	0.000245602	0.000357239	0.276257033	0.006698223	0.000245602	0.194806645	0.001428954	0.000535858	0.000491203	0.003505403	0.000200947	2.23E-05	6.70E-05	0.267794945	0.003505403	0.043806377	0.000133964	0.273890328	0.002322051	0.000245602	0.000178619	0.003148165	0.00129499	0.194806645	0.006698223	0.000245602	0.000223274	8.93E-05	0.053451817	0.116057873	0.007948558	0.000334911	0.006854515	0.000491203	0.000200947	0.018822006	0.273890328	0.267393052	0.006251675	0.000178619	6.70E-05	0.000357239	0.000133964	0.018665714	4.47E-05	6.70E-05	0.053295526	0.000156292	0.116057873	0.005157632	0.003505403	0.000334911	0.006854515	0.000491203	0.005983746
ZOZOW1T-1022	0.603633578	0.000525337	0	0.194637189	0	0.201203896	0	0.603633578	4.38E-05	0.187260589	2.19E-05	0.003699245	0	0.00715771	0.000503448	0	0.196979315	0.00021889	0	0.603633578	0.013833862	2.19E-05	0	0.00715771	8.76E-05	0.000503448	0	0.173426726	0.003699245	0	0.196891759	0	0.00021889	0	0	2.19E-05	0.001707344	0	0.172857612	0	0.00715771	0	0.593608405	8.76E-05	0.000503448	0	0	0	0.196891759	0.003699245	0	0	2.19E-05	0.006172704	0.012126519	0.000569115	0.00021889	0.001948123	0	2.19E-05	0.002407792	0.593608405	0.172857612	0.000240779	0	0	0	0	0.004509139	0	2.19E-05	0.006172704	0	0.012126519	0.000569115	0	0.00021889	0.001948123	0	0.003699245
ZOZOW1T-1042	0.771293882	0	0	0.185100532	0	0.043605586	0	0.771293882	0	0.124436032	0	0.030534624	0	0.0606645	0	0	0.013070962	0	0	0.771293882	0.083175601	0	0.011297216	0.0606645	0.013070962	0	0	0.041260431	0.019237408	0	0	0	0	0	0	0	0	0	0.041260431	0	0.0606645	0.007964001	0.631656012	0.013070962	0	0	0	0	0	0.019237408	0	0	0	0.126828804	0.083175601	0	0	0.012809066	0	0	0.030951276	0.631656012	0.041260431	0	0	0	0	0	0.029713225	0	0	0.126828804	0	0.083175601	0	0	0	0.012809066	0	0.019237408
ZOZOW1T-1043	0.86914848	0.004392624	0.000428831	0.116074223	0	0.00929521	0	0.86914848	8.11E-05	0.083054207	0.003616092	0.003697222	0.000428831	0.031675572	0	0	0.005516858	0.000324521	0	0.868140147	0.010222413	0.003616092	0	0.031675572	0.005516858	0	0	0.072831794	0.003697222	0	0	6.95E-05	0.000324521	0	0.000428831	0	0	0	0.071209189	0.000428831	0.029496645	0	0.625444768	0.005516858	0	0	0	0	0	0.003697222	0	0.000162261	0.002202107	0.242544709	0.010222413	0	0.000324521	0.00015067	0	0	0.009886302	0.625444768	0.071209189	0.003314751	0	0	0	5.80E-05	0.016295592	2.32E-05	0.002016666	0.242544709	0	0.010222413	0	0.000428831	0.000324521	0.00015067	0	0.003639272
ZOZOW1T-4012	0.308387338	0.007306206	0.000981431	0.248348704	9.35E-05	0.434727069	0.000124626	0.308387338	0.000171361	0.214808699	0.007103689	0.002975449	0.000981431	0.031857552	1.56E-05	9.35E-05	0.429227941	0.000436191	0.000124626	0.307982303	0.063777418	0.007103689	0.000233674	0.031857552	0.003692049	1.56E-05	9.35E-05	0.151031281	0.002741775	9.35E-05	0.425395688	9.35E-05	0.000436191	0.000124626	0.000981431	3.12E-05	6.23E-05	0.000701022	0.145983923	0.000981431	0.028243395	0.000109048	0.273788011	0.003692049	1.56E-05	9.35E-05	0.002788509	0.000109048	0.425317797	0.002741775	9.35E-05	0.000311565	9.35E-05	0.02927156	0.062702517	0.003551844	0.000436191	0.002757353	0.000124626	3.12E-05	0.01113846	0.27361665	0.145173853	0.00376994	9.35E-05	0.000701022	0.000389457	0.000124626	0.013334995	0.000218096	0	0.02927156	1.56E-05	0.062655783	0.003551844	0.000981431	0.000436191	0.002757353	0.000124626	0.002617149
ZOZOW1T-44	0.516843563	0.031379788	0	0.324642363	0.007037379	0.109829257	0.000230734	0.516843563	0.016151361	0.301107522	0.00219197	0.023765575	0	0.008191048	0.029187817	0.007037379	0.06368251	0.000230734	0.000230734	0.516728196	0.013151823	0.00219197	0.023765575	0.008191048	0.006460545	0.029187817	0.007037379	0.287955699	0	0	0.055376096	0.004960775	0.000230734	0.000230734	0	0	0	0	0.267535764	0	0	0.004614675	0.403207199	0.006460545	0.029187817	0.007037379	0.00588371	0.004153207	0.037263498	0	0	0.000346101	0	0.091139825	0	0.012921089	0.000230734	0.018227965	0.000230734	0	0	0.403207199	0.267535764	0	0.007037379	0	0	0	0	0	0	0.091139825	0	0	0.004499308	0	0	0.018227965	0.000230734	0
ZOZOW1T-53	0.014036029	0.361405391	0.000134102	0.130481427	0.09941442	0.132269456	0.001743328	0.014036029	0.000134102	0.028876671	0.334719056	0.032005722	0.000134102	0.009878861	0.026686335	0.09941442	0.091368289	0.046265254	0.001743328	0.013767824	0.003486657	0.334719056	0.000402307	0.009878861	0.000268204	0.026686335	0.09941442	0.025390014	0.031603415	0.091010683	0	0	0.046265254	0.001743328	0.000134102	0.000894015	0	0.002726744	0.005006482	0.000134102	0.000357606	0.000223504	0.008448438	0.000268204	0.026686335	0.097268785	0.005185285	0.00183273	0	0.031603415	0.091010683	0.182021367	0.146841894	0.002592642	0.000759912	0.019847124	0.046175853	0	0.001743328	0.000894015	0.000178803	0.008448438	0.002279737	8.94E-05	0.097268785	0.002726744	0.002726744	0.030307094	0	0.180859148	0.055339502	0.002547942	0.00183273	0.000759912	0.019847124	0.000134102	0.045952349	0	0.001743328	0.000894015
ZOZOW1T-54	0.003076022	0.36655925	0	0.124945071	0.112494507	0.162370001	0.006005566	0.003076022	0	0.028270104	0.330232899	0.039768566	0	0.003881646	0.036326351	0.112494507	0.10707485	0.029441922	0.006005566	0.002929544	0.003588692	0.330232899	0.000292954	0.003881646	0	0.036326351	0.112494507	0.024681412	0.039475612	0.107001611	0	0	0.029441922	0.006005566	0	0.000585909	7.32E-05	0.003295738	0.004321078	0	7.32E-05	0.000146477	0.000439432	0	0.036326351	0.107807236	0.003076022	0.001245056	0	0.039475612	0.107001611	0.142522338	0.187271129	0.000659148	0.000219716	0.020213857	0.029441922	0	0.006005566	0.000585909	0	0.000439432	7.32E-05	0	0.107807236	0.003295738	0.004247839	0.038669987	0	0.142156145	0.085249744	0.000659148	0.001245056	0.000219716	0.020213857	0	0.029222206	0	0.006005566	0
ZOZOW1T-54b	0.875921432	0.005585825	0.000549425	0.097385651	0.001327778	0.019184103	4.58E-05	0.875921432	0.001144636	0.080902889	0.004990614	0.012819926	0.000549425	0.016253835	0.000595211	0.001327778	0.004807472	0.000228927	4.58E-05	0.875921432	0.017215329	0.004990614	0.001648276	0.016253835	0.001739847	0.000595211	0.001327778	0.06368756	0.01117165	0	0.003067625	0	0.000228927	4.58E-05	0.000549425	0.000183142	0	0	0.058971659	0.000549425	0.008836592	0.001648276	0.790256856	0.001739847	0.000595211	0	0.003433909	0.00352548	0.001419349	0.01117165	0	0	0.002563985	0.076003846	0.017215329	0.004670116	0.000228927	0.00402912	4.58E-05	0.000183142	0.0025182	0.7901195	0.058971659	0.003708621	0	0	0	0.001281993	0.002609771	0	0.002151916	0.076003846	0.00352548	0.017215329	0.004670116	0.000549425	0.000228927	0.00402912	4.58E-05	0.009889657
