,subjects,linkedGenes
0,"('ZJTKAE3_Control', 'ZJXC41N_Prediabetic')","['order_Pasteurellales+nares', 'family_Pasteurellaceae+nares', 'AARS+RNAseq', 'ADAMTS13+RNAseq', 'ANKRD34A+RNAseq', 'ANKRD37+RNAseq', 'ARAF+RNAseq', 'ATG3+RNAseq', 'BBS2+RNAseq', 'BRPF3+RNAseq', 'CDHR2+RNAseq', 'CEP44+RNAseq', 'CSAD+RNAseq', 'DAG1+RNAseq', 'DCTN1-AS1+RNAseq', 'EFNA1+RNAseq', 'EIF1AD+RNAseq', 'EXOC1+RNAseq', 'FLJ31356+RNAseq', 'GALC+RNAseq', 'GCHFR+RNAseq', 'GPR45+RNAseq', 'HECTD4+RNAseq', 'IQGAP1+RNAseq', 'KIAA0226L+RNAseq', 'LMO2+RNAseq', 'LOC100507540+RNAseq', 'LOC101927178+RNAseq', 'LOC101928988+RNAseq', 'LOC101929319+RNAseq', 'MAMDC2+RNAseq', 'MGAT3+RNAseq', 'MIR4257+RNAseq', 'MSC+RNAseq', 'NAGA+RNAseq', 'NASP+RNAseq', 'NCKAP1L+RNAseq', 'NDUFA1+RNAseq', 'NME9+RNAseq', 'NUDT1+RNAseq', 'PDE2A+RNAseq', 'PILRA+RNAseq', 'PIP4K2A+RNAseq', 'PPIA+RNAseq', 'PPM1F+RNAseq', 'RAI1+RNAseq', 'SERPINB9P1+RNAseq', 'SHARPIN+RNAseq', 'SNX27+RNAseq', 'SPATA9+RNAseq', 'STXBP1+RNAseq', 'TCEB2+RNAseq', 'TCL1A+RNAseq', 'TMPRSS11A+RNAseq', 'TNPO3+RNAseq', 'TPGS2+RNAseq', 'TRAPPC10+RNAseq', 'TRHDE-AS1+RNAseq', 'TUBA3FP+RNAseq', 'UBE2A+RNAseq', 'UBE2M+RNAseq', 'UCP3+RNAseq', 'USP53+RNAseq', 'VWA5B1+RNAseq', 'ZSWIM7+RNAseq']"
1,"('ZJTKAE3_Control', 'ZK112BX_Crossover')","['CHEX2+cytokine', 'order_Neisseriales+nares', 'family_Neisseriaceae+nares', 'A1CF+RNAseq', 'ASAH1+RNAseq', 'C1orf122+RNAseq', 'CBX3+RNAseq', 'CDK13+RNAseq', 'CHST15+RNAseq', 'COL9A2+RNAseq', 'CRAMP1L+RNAseq', 'CUL4B+RNAseq', 'DGKE+RNAseq', 'EIF4G2+RNAseq', 'FAM215A+RNAseq', 'FBXO31+RNAseq', 'FNTA+RNAseq', 'ITFG2+RNAseq', 'KAT8+RNAseq', 'KLC1+RNAseq', 'LIN54+RNAseq', 'LMNB1+RNAseq', 'MAD1L1+RNAseq', 'MARCKS+RNAseq', 'MATR3+RNAseq', 'MIR3665+RNAseq', 'MPEG1+RNAseq', 'MTDH+RNAseq', 'MVB12B+RNAseq', 'NAGS+RNAseq', 'NAMPT+RNAseq', 'NR3C2+RNAseq', 'PCNXL3+RNAseq', 'PCSK7+RNAseq', 'PITRM1+RNAseq', 'PNPT1+RNAseq', 'PRRC2B+RNAseq', 'RASSF5+RNAseq', 'RBCK1+RNAseq', 'SEC11A+RNAseq', 'SHC1+RNAseq', 'SNRNP200+RNAseq', 'SRRM1+RNAseq', 'TCP11L1+RNAseq', 'TFIP11+RNAseq', 'TNFRSF25+RNAseq', 'UNC13D+RNAseq', 'ZFYVE19+RNAseq', 'ZNF460+RNAseq', 'ZNF496+RNAseq', 'ZNF672+RNAseq']"
2,"('ZJTKAE3_Control', 'ZK4CK8Y_Prediabetic')","['ACPT+RNAseq', 'ADAMTS10+RNAseq', 'ADH1A+RNAseq', 'AIRN+RNAseq', 'AKT1+RNAseq', 'ALDH16A1+RNAseq', 'AMD1+RNAseq', 'ANKRD23+RNAseq', 'APC2+RNAseq', 'ARCN1+RNAseq', 'ARIH2+RNAseq', 'B9D2+RNAseq', 'BRMS1+RNAseq', 'C1orf145+RNAseq', 'CALHM1+RNAseq', 'CARD14+RNAseq', 'CARHSP1+RNAseq', 'CBX1+RNAseq', 'CD151+RNAseq', 'CDK16+RNAseq', 'CDRT15P1+RNAseq', 'CELSR3+RNAseq', 'CENPBD1+RNAseq', 'CFD+RNAseq', 'CPAMD8+RNAseq', 'DERL3+RNAseq', 'DKFZP434H168+RNAseq', 'DNAH17+RNAseq', 'FAM129A+RNAseq', 'FAM134C+RNAseq', 'FAM86B3P+RNAseq', 'FAM8A1+RNAseq', 'FBXL16+RNAseq', 'FGD5-AS1+RNAseq', 'FKSG29+RNAseq', 'FNBP1+RNAseq', 'GPC1+RNAseq', 'HIRIP3+RNAseq', 'IGFALS+RNAseq', 'JOSD2+RNAseq', 'KIAA0247+RNAseq', 'KLHL35+RNAseq', 'LAS1L+RNAseq', 'LASP1+RNAseq', 'LDHD+RNAseq', 'LOC100499194+RNAseq', 'LOC101593348+RNAseq', 'LOC101929767+RNAseq', 'LOXL1+RNAseq', 'LRRC8B+RNAseq', 'MAPK8IP1+RNAseq', 'MEST+RNAseq', 'MIR4435-1HG+RNAseq', 'MIR623+RNAseq', 'MRPS34+RNAseq', 'MTF1+RNAseq', 'MUSK+RNAseq', 'MYH7B+RNAseq', 'MYO15B+RNAseq', 'NEIL2+RNAseq', 'NME3+RNAseq', 'NQO1+RNAseq', 'OGFRP1+RNAseq', 'PACS1+RNAseq', 'PCGF1+RNAseq', 'PFN4+RNAseq', 'PLBD1+RNAseq', 'PLIN4+RNAseq', 'PLXNA4+RNAseq', 'POLD4+RNAseq', 'PRX+RNAseq', 'PTPRCAP+RNAseq', 'PWP1+RNAseq', 'RAC1+RNAseq', 'RDH13+RNAseq', 'RHOC+RNAseq', 'RNF11+RNAseq', 'RPL37+RNAseq', 'RPS17+RNAseq', 'SCG3+RNAseq', 'SEPP1+RNAseq', 'SH2B3+RNAseq', 'SH3GL1+RNAseq', 'SLC10A3+RNAseq', 'SLC27A1+RNAseq', 'SLC2A6+RNAseq', 'SLC9A5+RNAseq', 'SPON2+RNAseq', 'STAG3L5P-PVRIG2P-PILRB+RNAseq', 'STXBP2+RNAseq', 'TIGD5+RNAseq', 'TMC4+RNAseq', 'TREX1+RNAseq', 'TUBD1+RNAseq', 'TYMP+RNAseq', 'UIMC1+RNAseq', 'USB1+RNAseq', 'VAV3+RNAseq', 'WDR24+RNAseq', 'XAF1+RNAseq', 'ZBTB12+RNAseq', 'ZCCHC24+RNAseq', 'ZNF165+RNAseq', 'ZNF587B+RNAseq', 'ZNF790+RNAseq']"
3,"('ZJTKAE3_Control', 'ZKFV71L_Prediabetic')","['A1BG+RNAseq', 'AQR+RNAseq', 'ATXN1L+RNAseq', 'BCAM+RNAseq', 'C9orf131+RNAseq', 'CDKN2B+RNAseq', 'FBXL19+RNAseq', 'GNA12+RNAseq', 'MORF4L1+RNAseq', 'MTRF1+RNAseq', 'PLIN4+RNAseq', 'PRPF4B+RNAseq', 'RNF38+RNAseq', 'SLC46A3+RNAseq', 'SMCR5+RNAseq', 'USP38+RNAseq', 'VAC14-AS1+RNAseq', 'VPS9D1+RNAseq', 'ZNF154+RNAseq']"
4,"('ZJTKAE3_Control', 'ZKVR426_Prediabetic')","['FASL+cytokine', 'IL27+cytokine', 'IL5+cytokine', 'IL7+cytokine', 'IL23+cytokine', 'A1BG+RNAseq', 'ACP5+RNAseq', 'AIM1L+RNAseq', 'ALG12+RNAseq', 'AMT+RNAseq', 'ANAPC15+RNAseq', 'ARMC7+RNAseq', 'ASB8+RNAseq', 'BAG6+RNAseq', 'BDP1+RNAseq', 'C19orf71+RNAseq', 'C8G+RNAseq', 'CARNS1+RNAseq', 'CDH4+RNAseq', 'CDK13+RNAseq', 'CMPK2+RNAseq', 'CNPY4+RNAseq', 'CPSF3L+RNAseq', 'CREM+RNAseq', 'DCAF7+RNAseq', 'DDX51+RNAseq', 'DNAJA4+RNAseq', 'EGOT+RNAseq', 'EPB41L4A-AS2+RNAseq', 'FLJ13224+RNAseq', 'GALM+RNAseq', 'GRIN1+RNAseq', 'GTF2F1+RNAseq', 'HIGD1B+RNAseq', 'HNRNPR+RNAseq', 'IFT140+RNAseq', 'KCTD21-AS1+RNAseq', 'LILRB3+RNAseq', 'LOC100128770+RNAseq', 'LOC100505918+RNAseq', 'LOC101927275+RNAseq', 'LOC730668+RNAseq', 'LRRC37A6P+RNAseq', 'LRRC39+RNAseq', 'MEGF11+RNAseq', 'MS4A6A+RNAseq', 'NARFL+RNAseq', 'NPTN+RNAseq', 'OGFOD2+RNAseq', 'OGT+RNAseq', 'PCSK6+RNAseq', 'PEF1+RNAseq', 'PMEPA1+RNAseq', 'PPT1+RNAseq', 'PTPN12+RNAseq', 'RAE1+RNAseq', 'RBM5+RNAseq', 'RGS2+RNAseq', 'RPS6+RNAseq', 'SEC63+RNAseq', 'SLC26A4-AS1+RNAseq', 'SLC9A3+RNAseq', 'SLFN14+RNAseq', 'SMCR8+RNAseq', 'SP7+RNAseq', 'SPECC1+RNAseq', 'SRGAP3-AS3+RNAseq', 'SRP68+RNAseq', 'SRRM2+RNAseq', 'SUSD1+RNAseq', 'SYK+RNAseq', 'TANK+RNAseq', 'TCTEX1D4+RNAseq', 'TMPRSS9+RNAseq', 'TSPEAR+RNAseq', 'UBAC2+RNAseq', 'UBR1+RNAseq', 'UBTF+RNAseq', 'VAV3+RNAseq', 'ZC3H7A+RNAseq', 'ZNF295-AS1+RNAseq', 'ZNF324+RNAseq', 'ZNF446+RNAseq', 'ZNF576+RNAseq']"
5,"('ZJTKAE3_Control', 'ZL63I8R_Prediabetic')","['SDF1A+cytokine', 'genus_Butyricicoccus+gut', 'AATK+RNAseq', 'ACADVL+RNAseq', 'ATP2A1+RNAseq', 'BCL10+RNAseq', 'CCR10+RNAseq', 'CLCF1+RNAseq', 'DLGAP4+RNAseq', 'EMR3+RNAseq', 'GAS2+RNAseq', 'GMIP+RNAseq', 'GSE1+RNAseq', 'IGF1R+RNAseq', 'LINC00861+RNAseq', 'LOC100131691+RNAseq', 'LOC283710+RNAseq', 'MAPRE3+RNAseq', 'MBNL3+RNAseq', 'MFSD3+RNAseq', 'MIR1914+RNAseq', 'MIR6748+RNAseq', 'NCDN+RNAseq', 'NTSR1+RNAseq', 'OGFOD2+RNAseq', 'PAAF1+RNAseq', 'PITRM1-AS1+RNAseq', 'PNPT1+RNAseq', 'PPP1R3E+RNAseq', 'PPP5D1+RNAseq', 'RASL11B+RNAseq', 'SLC35G6+RNAseq', 'TMPRSS9+RNAseq', 'ZNF276+RNAseq', 'ZNF48+RNAseq', 'ZNF829+RNAseq']"
6,"('ZJTKAE3_Control', 'ZL9BTWF_Prediabetic')","['IL7+cytokine', 'AQR+RNAseq', 'ARL13B+RNAseq', 'C15orf61+RNAseq', 'C16orf54+RNAseq', 'CASP4+RNAseq', 'DAPK3+RNAseq', 'DBI+RNAseq', 'DPF1+RNAseq', 'FAM124A+RNAseq', 'GRPEL1+RNAseq', 'HLA-DRB1+RNAseq', 'IFT20+RNAseq', 'KLC1+RNAseq', 'LOC100287098+RNAseq', 'LOC101928791+RNAseq', 'LOC574538+RNAseq', 'MAP3K19+RNAseq', 'MNS1+RNAseq', 'PDLIM1+RNAseq', 'RAB8B+RNAseq', 'RIBC1+RNAseq', 'RIPK2+RNAseq', 'RLN3+RNAseq', 'RNMTL1+RNAseq', 'RPA3OS+RNAseq', 'RPS7+RNAseq', 'SDR42E1+RNAseq', 'SF1+RNAseq', 'SGPL1+RNAseq', 'SLC28A2+RNAseq', 'SMLR1+RNAseq', 'SPNS2+RNAseq', 'SUPT6H+RNAseq', 'SVILP1+RNAseq', 'TCTA+RNAseq', 'TNFRSF25+RNAseq', 'VSIG2+RNAseq', 'ZNF706+RNAseq']"
7,"('ZJTKAE3_Control', 'ZLGD9M0_Prediabetic')","['CR+clinical', 'genus_Anaerotruncus+gut', 'phylum_Fusobacteria+nares', 'class_Clostridia+nares', 'class_Fusobacteria+nares', 'order_Clostridiales+nares', 'order_Fusobacteriales+nares', 'family_Fusobacteriaceae+nares', 'genus_Anaerococcus+nares', 'genus_Fusobacterium+nares', 'ABRA+RNAseq', 'ACADVL+RNAseq', 'ACOX2+RNAseq', 'AGER+RNAseq', 'AGO2+RNAseq', 'ALG12+RNAseq', 'AMPD2+RNAseq', 'AMT+RNAseq', 'ANAPC13+RNAseq', 'ANKRD37+RNAseq', 'AP2M1+RNAseq', 'APCDD1L+RNAseq', 'APMAP+RNAseq', 'AQR+RNAseq', 'ARHGAP39+RNAseq', 'ARMC5+RNAseq', 'ATF6+RNAseq', 'ATP6V1B1+RNAseq', 'ATXN7L3B+RNAseq', 'AXIN1+RNAseq', 'BAZ1A+RNAseq', 'BCL9+RNAseq', 'BMP8A+RNAseq', 'BRE-AS1+RNAseq', 'C12orf61+RNAseq', 'C17orf78+RNAseq', 'C19orf26+RNAseq', 'C2+RNAseq', 'C22orf24+RNAseq', 'CARKD+RNAseq', 'CASP4+RNAseq', 'CCDC12+RNAseq', 'CCDC181+RNAseq', 'CCDC37+RNAseq', 'CCNDBP1+RNAseq', 'CCR10+RNAseq', 'CCR6+RNAseq', 'CDC37L1+RNAseq', 'CEPT1+RNAseq', 'CFD+RNAseq', 'CHAF1A+RNAseq', 'CHMP1B+RNAseq', 'CHRNB1+RNAseq', 'CHRNG+RNAseq', 'CIRBP-AS1+RNAseq', 'CLMP+RNAseq', 'CMTR1+RNAseq', 'CNTN2+RNAseq', 'COL18A1+RNAseq', 'COL23A1+RNAseq', 'COMMD5+RNAseq', 'CPLX2+RNAseq', 'CTB-113P19.1+RNAseq', 'CTBS+RNAseq', 'CTSH+RNAseq', 'DGCR8+RNAseq', 'DNAH14+RNAseq', 'DNAJB2+RNAseq', 'DONSON+RNAseq', 'EIF3B+RNAseq', 'ELN+RNAseq', 'EMC4+RNAseq', 'EMG1+RNAseq', 'ENC1+RNAseq', 'ENTPD3+RNAseq', 'ERGIC1+RNAseq', 'ERICH6+RNAseq', 'EXOSC3+RNAseq', 'FAM150B+RNAseq', 'FAM208A+RNAseq', 'FAM20A+RNAseq', 'FAM213B+RNAseq', 'FAM86FP+RNAseq', 'FAR2+RNAseq', 'FBXO24+RNAseq', 'FDPS+RNAseq', 'FGD5-AS1+RNAseq', 'FMNL2+RNAseq', 'FRAT1+RNAseq', 'FRMD8+RNAseq', 'FXR2+RNAseq', 'GJA4+RNAseq', 'GPD2+RNAseq', 'GPN3+RNAseq', 'GPR155+RNAseq', 'GPR161+RNAseq', 'GPX3+RNAseq', 'GRID2IP+RNAseq', 'HDAC2+RNAseq', 'HOXB3+RNAseq', 'HSBP1L1+RNAseq', 'HTR6+RNAseq', 'HYLS1+RNAseq', 'IFITM2+RNAseq', 'IFT140+RNAseq', 'INPP5F+RNAseq', 'IPO5+RNAseq', 'IQGAP3+RNAseq', 'ITGA9+RNAseq', 'JAZF1+RNAseq', 'JPX+RNAseq', 'KCTD20+RNAseq', 'KLHL11+RNAseq', 'KLRB1+RNAseq', 'LIN28A+RNAseq', 'LINC00211+RNAseq', 'LOC100129940+RNAseq', 'LOC100131626+RNAseq', 'LOC100287098+RNAseq', 'LOC101927905+RNAseq', 'LOC101927911+RNAseq', 'LOC101928471+RNAseq', 'LOC101930452+RNAseq', 'LOC102723385+RNAseq', 'LOC148709+RNAseq', 'LOC441242+RNAseq', 'LOC645638+RNAseq', 'LOC728463+RNAseq', 'LPHN1+RNAseq', 'LRFN4+RNAseq', 'LRRC37A+RNAseq', 'LRRC71+RNAseq', 'LSG1+RNAseq', 'LSR+RNAseq', 'LY6G5C+RNAseq', 'LYPLA2+RNAseq', 'MAFK+RNAseq', 'MAGI3+RNAseq', 'MAP2K3+RNAseq', 'MAPK7+RNAseq', 'MAPK8+RNAseq', 'MASP2+RNAseq', 'MBTD1+RNAseq', 'MCC+RNAseq', 'MCOLN1+RNAseq', 'MDM1+RNAseq', 'MED8+RNAseq', 'MEGF11+RNAseq', 'MEGF6+RNAseq', 'METTL12+RNAseq', 'MFSD10+RNAseq', 'MFSD7+RNAseq', 'MIF+RNAseq', 'MIR3190+RNAseq', 'MIR6748+RNAseq', 'MMP21+RNAseq', 'MRPL23-AS1+RNAseq', 'MRPL47+RNAseq', 'MRPS34+RNAseq', 'MYNN+RNAseq', 'MYO15B+RNAseq', 'MYO1H+RNAseq', 'NAMPT+RNAseq', 'NDUFA2+RNAseq', 'NQO1+RNAseq', 'NQO2+RNAseq', 'NSG1+RNAseq', 'NT5E+RNAseq', 'NUDT1+RNAseq', 'OGFOD2+RNAseq', 'OR10AD1+RNAseq', 'P2RY12+RNAseq', 'PCDHB15+RNAseq', 'PDZD2+RNAseq', 'PEAK1+RNAseq', 'PITRM1+RNAseq', 'PODXL+RNAseq', 'POLH+RNAseq', 'POLR1C+RNAseq', 'POLR2L+RNAseq', 'PPAPDC1B+RNAseq', 'PPL+RNAseq', 'PPP2R2D+RNAseq', 'PPT1+RNAseq', 'PRAP1+RNAseq', 'PRC1-AS1+RNAseq', 'PRRC2B+RNAseq', 'PRRT2+RNAseq', 'PTGDR2+RNAseq', 'RAET1E-AS1+RNAseq', 'RANGRF+RNAseq', 'RARRES3+RNAseq', 'RASSF2+RNAseq', 'RBM15+RNAseq', 'RBM39+RNAseq', 'RPL34+RNAseq', 'RPL36A+RNAseq', 'RRM1+RNAseq', 'SBF2+RNAseq', 'SEC1P+RNAseq', 'SERHL2+RNAseq', 'SERPINB9P1+RNAseq', 'SIL1+RNAseq', 'SKIV2L+RNAseq', 'SLC11A2+RNAseq', 'SLC16A11+RNAseq', 'SLC22A23+RNAseq', 'SLC35B1+RNAseq', 'SMAD5-AS1+RNAseq', 'SPDYE6+RNAseq', 'SPHK2+RNAseq', 'SPIRE1+RNAseq', 'STAR+RNAseq', 'STX17+RNAseq', 'SULT1A2+RNAseq', 'SYCE1L+RNAseq', 'SYP+RNAseq', 'TAPBP+RNAseq', 'TEAD2+RNAseq', 'TENM4+RNAseq', 'THUMPD1+RNAseq', 'TIMM17B+RNAseq', 'TIMM22+RNAseq', 'TJP3+RNAseq', 'TK2+RNAseq', 'TMEM107+RNAseq', 'TMEM209+RNAseq', 'TMEM223+RNAseq', 'TMOD4+RNAseq', 'TRIM17+RNAseq', 'TRIM46+RNAseq', 'TRMT10B+RNAseq', 'TRMT5+RNAseq', 'TRPV6+RNAseq', 'UBAP2+RNAseq', 'UBE2L6+RNAseq', 'UBL4A+RNAseq', 'UBXN6+RNAseq', 'VAC14-AS1+RNAseq', 'VPS29+RNAseq', 'VPS53+RNAseq', 'VSNL1+RNAseq', 'VWA5B1+RNAseq', 'WAS+RNAseq', 'WDR54+RNAseq', 'WNT4+RNAseq', 'XPA+RNAseq', 'ZBTB12+RNAseq', 'ZBTB17+RNAseq', 'ZC3H12B+RNAseq', 'ZFY+RNAseq', 'ZNF165+RNAseq', 'ZNF224+RNAseq', 'ZNF587+RNAseq', 'ZNF740+RNAseq', 'ZNF878+RNAseq', 'ZSCAN31+RNAseq']"
8,"('ZJTKAE3_Control', 'ZLPRB8E_Prediabetic')","['ANKIB1+RNAseq', 'B3GNTL1+RNAseq', 'C10orf91+RNAseq', 'C11orf80+RNAseq', 'C14orf183+RNAseq', 'C3orf52+RNAseq', 'CABP4+RNAseq', 'CCDC37+RNAseq', 'CNTN2+RNAseq', 'CYP20A1+RNAseq', 'FAM134B+RNAseq', 'FBXO6+RNAseq', 'FOXD2+RNAseq', 'GNB1+RNAseq', 'LPPR2+RNAseq', 'MCCD1+RNAseq', 'MED23+RNAseq', 'MEGF11+RNAseq', 'METTL12+RNAseq', 'MTF1+RNAseq', 'NAPA-AS1+RNAseq', 'NOL7+RNAseq', 'NQO1+RNAseq', 'PKDREJ+RNAseq', 'RAB37+RNAseq', 'RMND5B+RNAseq', 'RPL22+RNAseq', 'SLC35E2B+RNAseq', 'SLC4A2+RNAseq', 'SPDYE1+RNAseq', 'SURF6+RNAseq', 'SYNGAP1+RNAseq', 'TTC23L+RNAseq', 'ZNF436+RNAseq', 'ZYX+RNAseq']"
9,"('ZJTKAE3_Control', 'ZLPZS0H_Control')","['ACP5+RNAseq', 'ADARB2+RNAseq', 'C11orf30+RNAseq', 'CAPZA1+RNAseq', 'CCBL2+RNAseq', 'CCNC+RNAseq', 'CDK13+RNAseq', 'CMYA5+RNAseq', 'COL4A3+RNAseq', 'FAM199X+RNAseq', 'FBL+RNAseq', 'GIGYF1+RNAseq', 'GMNN+RNAseq', 'GRM7+RNAseq', 'HIRIP3+RNAseq', 'KIAA0247+RNAseq', 'LINC01138+RNAseq', 'LIPM+RNAseq', 'LOC100507091+RNAseq', 'LOC101929760+RNAseq', 'MBLAC2+RNAseq', 'PCMTD2+RNAseq', 'RNF166+RNAseq', 'SLC25A44+RNAseq', 'UNC80+RNAseq', 'WDR7+RNAseq']"
